latitud,cat_nom_catala,codi,espai_verd,adreca,catalogacio,nom_districte,tipus_element,cat_nom_castella,nom_barri,geom,cat_nom_cientific,x_etrs89,data_plantacio,codi_barri,longitud,codi_districte,tipus_reg,categoria_arbrat,cat_especie_id,tipus_aigua,y_etrs89,_id
41.4372699,washingtònia de Califòrnia,0001331AR,"Regidoria Nou Barris (Pi i Molist, c.)","E.A. Seu Dte Nou Barris, 0",,NOU BARRIS,PALMERA ZONA,Washingtonia; palmera de abanico de California,LA GUINEUETA,POINT (430744.832702568 4587631.59646236),Washingtonia filifera,430744.833,,48,2.1710299,8,GOTEIG,TERCERA,620,,4587631.596,63
41.4373272,washingtònia de Mèxic,0001332AR,"Regidoria Nou Barris (Pi i Molist, c.)","E.A. Seu Dte Nou Barris, 0",,NOU BARRIS,PALMERA ZONA,Palmera de abanico mejicana; palmera de abanico de México,LA GUINEUETA,POINT (430752.63440758 4587637.875792),Washingtonia filifera var. robusta,430752.634,2024-11-18T00:00:00,48,2.1711226,8,GOTEIG,PRIMERA,621,,4587637.876,64
41.4371609,washingtònia de Califòrnia,0001333AR,"Regidoria Nou Barris (Pi i Molist, c.)","E.A. Seu Dte Nou Barris, 1",,NOU BARRIS,PALMERA ZONA,Washingtonia; palmera de abanico de California,LA GUINEUETA,POINT (430762.701724873 4587619.31376688),Washingtonia filifera,430762.702,,48,2.1712452,8,GOTEIG,EXEMPLAR,620,,4587619.314,65
41.4372326,washingtònia de Califòrnia,0001334AR,"Regidoria Nou Barris (Pi i Molist, c.)","E.A. Seu Dte Nou Barris, 0",,NOU BARRIS,PALMERA ZONA,Washingtonia; palmera de abanico de California,LA GUINEUETA,POINT (430733.803300097 4587627.55791889),Washingtonia filifera,430733.803,,48,2.1708984,8,GOTEIG,EXEMPLAR,620,,4587627.558,66
41.4371089,washingtònia de Califòrnia,0001336AR,"Regidoria Nou Barris (Pi i Molist, c.)","E.A. Seu Dte Nou Barris, 1",,NOU BARRIS,PALMERA ZONA,Washingtonia; palmera de abanico de California,LA GUINEUETA,POINT (430760.524952573 4587613.56223174),Washingtonia filifera,430760.525,,48,2.1712198,8,GOTEIG,EXEMPLAR,620,,4587613.562,67
41.4370299,margalló de la Xina,0001337AR,"Regidoria Nou Barris (Pi i Molist, c.)","E.A. Seu Dte Nou Barris, 0",,NOU BARRIS,PALMERA ZONA,Palmito elevado,LA GUINEUETA,POINT (430737.941102744 4587605.01389593),Trachycarpus fortunei,430737.941,2020-09-30T00:00:00,48,2.1709505,8,GOTEIG,TERCERA,566,,4587605.014,68
41.4373768,Plàtan,0001475AR,"Ca n'Ensenya, pl.","Pl Ca n'Ensenya, 0",,NOU BARRIS,ARBRE ZONA,Plátano,LA GUINEUETA,POINT (430583.999999952 4587644.99999993),Platanus × acerifolia,430584.000,,48,2.1691035,8,ASPERSIÓ,EXEMPLAR,126,,4587645.000,98
41.4372452,washingtònia de Califòrnia,0001338AR,"Regidoria Nou Barris (Pi i Molist, c.)","E.A. Seu Dte Nou Barris, 0",,NOU BARRIS,PALMERA ZONA,Washingtonia; palmera de abanico de California,LA GUINEUETA,POINT (430729.762997539 4587628.98873412),Washingtonia filifera,430729.763,,48,2.1708499,8,GOTEIG,EXEMPLAR,620,,4587628.989,69
41.4371218,washingtònia de Califòrnia,0001340AR,"Regidoria Nou Barris (Pi i Molist, c.)","E.A. Seu Dte Nou Barris, 1",,NOU BARRIS,PALMERA ZONA,Washingtonia; palmera de abanico de California,LA GUINEUETA,POINT (430762.709834119 4587614.97484119),Washingtonia filifera,430762.710,,48,2.1712458,8,GOTEIG,EXEMPLAR,620,,4587614.975,70
41.4370830,washingtònia de Califòrnia,0001342AR,"Regidoria Nou Barris (Pi i Molist, c.)","E.A. Seu Dte Nou Barris, 1",,NOU BARRIS,PALMERA ZONA,Washingtonia; palmera de abanico de California,LA GUINEUETA,POINT (430764.61017383 4587610.65213984),Washingtonia filifera,430764.610,,48,2.1712690,8,GOTEIG,EXEMPLAR,620,,4587610.652,71
41.4371899,washingtònia de Califòrnia,0001345AR,"Regidoria Nou Barris (Pi i Molist, c.)","E.A. Seu Dte Nou Barris, 0",,NOU BARRIS,PALMERA ZONA,Washingtonia; palmera de abanico de California,LA GUINEUETA,POINT (430732.844831937 4587622.82943738),Washingtonia filifera,430732.845,,48,2.1708875,8,GOTEIG,EXEMPLAR,620,,4587622.829,72
41.4373126,Palma d'Alexandria,0001346AR,"Regidoria Nou Barris (Pi i Molist, c.)","E.A. Seu Dte Nou Barris, 0",,NOU BARRIS,PALMERA ZONA,Palma de Alejandría; Palma real de Australia,LA GUINEUETA,POINT (430742.015532488 4587636.35986246),Archontophoenix alexandrae,430742.016,2026-06-10T00:00:00,48,2.1709957,8,GOTEIG,PRIMERA,5095,,4587636.360,73
41.4372545,Palmera datilera; palmera de dàtils,0001348AR,"Regidoria Nou Barris (Pi i Molist, c.)","E.A. Seu Dte Nou Barris, 0",,NOU BARRIS,PALMERA ZONA,Palmera datilera,LA GUINEUETA,POINT (430751.073996764 4587629.82717665),Phoenix dactylifera,430751.074,,48,2.1711048,8,GOTEIG,TERCERA,48,,4587629.827,74
